Company_id,office,company,country code,industry,count
1,CN,ZUMTOBEL,AUT,Electronic & Electrical Equipment,84
1,EP,ZUMTOBEL,AUT,Electronic & Electrical Equipment,263
1,JP,ZUMTOBEL,AUT,Electronic & Electrical Equipment,1
1,US,ZUMTOBEL,AUT,Electronic & Electrical Equipment,86
2,CN,ANDRITZ,AUT, Industrial Engineering,74
2,EP,ANDRITZ,AUT, Industrial Engineering,88
2,JP,ANDRITZ,AUT, Industrial Engineering,33
2,KR,ANDRITZ,AUT, Industrial Engineering,18
2,US,ANDRITZ,AUT, Industrial Engineering,90
3,CN,AUSTRIAMICROSYSTEMS,AUT,Technology Hardware & Equipment,32
3,EP,AUSTRIAMICROSYSTEMS,AUT,Technology Hardware & Equipment,90
3,JP,AUSTRIAMICROSYSTEMS,AUT,Technology Hardware & Equipment,6
3,KR,AUSTRIAMICROSYSTEMS,AUT,Technology Hardware & Equipment,10
3,US,AUSTRIAMICROSYSTEMS,AUT,Technology Hardware & Equipment,87
4,CN,AUSTRIA TECHNOLOGIE & SYSTEMTECHNIK,AUT,Electronic & Electrical Equipment,12
4,EP,AUSTRIA TECHNOLOGIE & SYSTEMTECHNIK,AUT,Electronic & Electrical Equipment,14
4,US,AUSTRIA TECHNOLOGIE & SYSTEMTECHNIK,AUT,Electronic & Electrical Equipment,13
5,CN,VOESTALPINE,AUT,Industrial Metals & Mining,27
5,EP,VOESTALPINE,AUT,Industrial Metals & Mining,42
5,JP,VOESTALPINE,AUT,Industrial Metals & Mining,16
5,KR,VOESTALPINE,AUT,Industrial Metals & Mining,17
5,US,VOESTALPINE,AUT,Industrial Metals & Mining,32
6,EP,KTM,AUT,Automobiles & Parts,1
6,US,KTM,AUT,Automobiles & Parts,1
7,CN,NOVOMATIC,AUT,Travel & Leisure,23
7,EP,NOVOMATIC,AUT,Travel & Leisure,27
7,JP,NOVOMATIC,AUT,Travel & Leisure,3
7,KR,NOVOMATIC,AUT,Travel & Leisure,10
7,US,NOVOMATIC,AUT,Travel & Leisure,31
8,CN,KAPSCH TRAFFICCOM,AUT,Electronic & Electrical Equipment,17
8,EP,KAPSCH TRAFFICCOM,AUT,Electronic & Electrical Equipment,50
8,US,KAPSCH TRAFFICCOM,AUT,Electronic & Electrical Equipment,44
9,CN,BOREALIS,AUT,Chemicals,133
9,EP,BOREALIS,AUT,Chemicals,164
9,JP,BOREALIS,AUT,Chemicals,44
9,KR,BOREALIS,AUT,Chemicals,76
9,US,BOREALIS,AUT,Chemicals,100
10,CN,BENTELER INTERNATIONAL,AUT,Automobiles & Parts,51
10,EP,BENTELER INTERNATIONAL,AUT,Automobiles & Parts,73
10,JP,BENTELER INTERNATIONAL,AUT,Automobiles & Parts,14
10,KR,BENTELER INTERNATIONAL,AUT,Automobiles & Parts,3
10,US,BENTELER INTERNATIONAL,AUT,Automobiles & Parts,74
11,CN,AMCOR,AUS,General Industrials,2
11,EP,AMCOR,AUS,General Industrials,16
11,JP,AMCOR,AUS,General Industrials,6
11,KR,AMCOR,AUS,General Industrials,1
11,US,AMCOR,AUS,General Industrials,17
12,CN,COCHLEAR,AUS,Health Care Equipment & Services,10
12,EP,COCHLEAR,AUS,Health Care Equipment & Services,16
12,JP,COCHLEAR,AUS,Health Care Equipment & Services,3
12,KR,COCHLEAR,AUS,Health Care Equipment & Services,2
12,US,COCHLEAR,AUS,Health Care Equipment & Services,25
13,US,ARISTOCRAT LEISURE,AUS,Travel & Leisure,53
15,CN,ARRIUM,AUS,Industrial Metals & Mining,1
15,EP,ARRIUM,AUS,Industrial Metals & Mining,1
15,JP,ARRIUM,AUS,Industrial Metals & Mining,1
15,KR,ARRIUM,AUS,Industrial Metals & Mining,1
15,US,ARRIUM,AUS,Industrial Metals & Mining,5
18,CN,CSL,AUS,Pharmaceuticals & Biotechnology,16
18,EP,CSL,AUS,Pharmaceuticals & Biotechnology,26
18,JP,CSL,AUS,Pharmaceuticals & Biotechnology,15
18,KR,CSL,AUS,Pharmaceuticals & Biotechnology,15
18,US,CSL,AUS,Pharmaceuticals & Biotechnology,23
19,US,TELSTRA,AUS,Technology Hardware & Equipment,2
20,CN,AMP,AUS,Nonlife Insurance,2
20,EP,AMP,AUS,Nonlife Insurance,2
20,JP,AMP,AUS,Nonlife Insurance,1
20,US,AMP,AUS,Nonlife Insurance,2
21,CN,NUFARM,AUS,Chemicals,3
21,EP,NUFARM,AUS,Chemicals,2
21,JP,NUFARM,AUS,Chemicals,1
21,KR,NUFARM,AUS,Chemicals,1
21,US,NUFARM,AUS,Chemicals,9
22,EP,COMMONWEALTH BANK OF AUSTRALIA,AUS,Banks,1
22,US,COMMONWEALTH BANK OF AUSTRALIA,AUS,Banks,4
23,CN,PROXIMUS,BEL,Fixed Line Telecommunications,1
23,EP,PROXIMUS,BEL,Fixed Line Telecommunications,1
23,US,PROXIMUS,BEL,Fixed Line Telecommunications,1
24,CN,UMICORE,BEL,Industrial Metals & Mining,51
24,EP,UMICORE,BEL,Industrial Metals & Mining,70
24,JP,UMICORE,BEL,Industrial Metals & Mining,28
24,KR,UMICORE,BEL,Industrial Metals & Mining,31
24,US,UMICORE,BEL,Industrial Metals & Mining,51
26,CN,UCB,BEL,Pharmaceuticals & Biotechnology,19
26,EP,UCB,BEL,Pharmaceuticals & Biotechnology,31
26,JP,UCB,BEL,Pharmaceuticals & Biotechnology,16
26,KR,UCB,BEL,Pharmaceuticals & Biotechnology,12
26,US,UCB,BEL,Pharmaceuticals & Biotechnology,30
27,CN,SOLVAY,BEL,Chemicals,221
27,EP,SOLVAY,BEL,Chemicals,283
27,JP,SOLVAY,BEL,Chemicals,128
27,KR,SOLVAY,BEL,Chemicals,95
27,US,SOLVAY,BEL,Chemicals,242
29,CN,AGFA-GEVAERT,BEL,Electronic & Electrical Equipment,91
29,EP,AGFA-GEVAERT,BEL,Electronic & Electrical Equipment,114
29,JP,AGFA-GEVAERT,BEL,Electronic & Electrical Equipment,7
29,KR,AGFA-GEVAERT,BEL,Electronic & Electrical Equipment,11
29,US,AGFA-GEVAERT,BEL,Electronic & Electrical Equipment,93
30,CN,BEKAERT,BEL,Industrial Metals & Mining,41
30,EP,BEKAERT,BEL,Industrial Metals & Mining,44
30,JP,BEKAERT,BEL,Industrial Metals & Mining,9
30,KR,BEKAERT,BEL,Industrial Metals & Mining,11
30,US,BEKAERT,BEL,Industrial Metals & Mining,33
31,CN,ANHEUSER-BUSCH INBEV,BEL,,12
31,EP,ANHEUSER-BUSCH INBEV,BEL,,24
31,KR,ANHEUSER-BUSCH INBEV,BEL,,2
31,US,ANHEUSER-BUSCH INBEV,BEL,,22
32,CN,BARCO,BEL,Electronic & Electrical Equipment,22
32,EP,BARCO,BEL,Electronic & Electrical Equipment,23
32,JP,BARCO,BEL,Electronic & Electrical Equipment,4
32,KR,BARCO,BEL,Electronic & Electrical Equipment,1
32,US,BARCO,BEL,Electronic & Electrical Equipment,28
33,CN,XTRION,BEL,Technology Hardware & Equipment,3
33,EP,XTRION,BEL,Technology Hardware & Equipment,35
33,JP,XTRION,BEL,Technology Hardware & Equipment,7
